title,authors,url,year
Thiazolidin-4-one-based derivatives – Efficient tools for designing antiprotozoal agents. A review of the last decade,"Helena Tuszewska, Jacek Szczepański, Nazar Trotsko",https://www.sciencedirect.com/science/article/pii/S0045206823000585/pdfft?md5=4c4973f7b63469d566e3a5c98a97bf49&pid=1-s2.0-S0045206823000585-main.pdf,2023
Antiprotozoal compounds fromMikania periplocifolia(Asteraceae),"Laura C. Laurella, Orlando G. Elso, Valeria P. Sülsen",https://www.sciencedirect.com/science/article/pii/S0367326X23000746/pdfft?md5=2f1fbfb60c052a17fc9f6dfd999c4b2c&pid=1-s2.0-S0367326X23000746-main.pdf,2023
Exploring microalgal and cyanobacterial metabolites with antiprotozoal activity againstLeishmaniaandTrypanosomaparasites,"Ângelo Paggi Matos, Flávia Marisa Prado Saldanha-Corrêa, Gabriela Ramos Hurtado",https://www.sciencedirect.com/science/article/pii/S0001706X23003030/pdfft?md5=4c68dcc58ba706b895f4c3529262976b&pid=1-s2.0-S0001706X23003030-main.pdf,2024
Elucidating the structure-function attributes of a trypanosomal arginyl-tRNA synthetase,"Pratyasha Bhowal, Bappaditya Roy, Rajat Banerjee",https://www.sciencedirect.com/science/article/pii/S0166685123000555/pdfft?md5=b9847bd4d22d5fdbf68377d13e6d56e6&pid=1-s2.0-S0166685123000555-main.pdf,2023
ExploringN-myristoyltransferase as a promising drug target against parasitic neglected tropical diseases,"Igor José dos Santos Nascimento, Misael de Azevedo Teotônio Cavalcanti, Ricardo Olimpio de Moura",https://www.sciencedirect.com/science/article/pii/S0223523423005160/pdfft?md5=6d164bba87ecc50170d6fdcff192fc5e&pid=1-s2.0-S0223523423005160-main.pdf,2023
"RCB-4, a novel cyclic peptide, fromRicinus communiswith anti-Trypanosoma cruziactivities","Francianne Galossi-de-Souza, Laís Pessanha de Carvalho, Olga Lima Tavares Machado",https://www.sciencedirect.com/science/article/pii/S0022286023024936/pdfft?md5=b6c6c522a3f19e707eb17ce3b42cb1f1&pid=1-s2.0-S0022286023024936-main.pdf,2024
A multi-omics approach for understanding blood digestion dynamics inIxodes scapularisand identification of anti-tick vaccine targets,"Jeremiah B. Reyes, Molly McVicar, Monika Gulia-Nuss",https://www.sciencedirect.com/science/article/pii/S1877959X24000724/pdfft?md5=b3d85f71955aebabbb5fad285334949f&pid=1-s2.0-S1877959X24000724-main.pdf,2024
"Heterologous mRNA-protein vaccination with Tc24 induces a robust cellular immune response againstTrypanosoma cruzi, characterized by an increased level of polyfunctional CD8+ T-cells","Cristina Poveda, Ana Carolina Leão, Kathryn M. Jones",https://www.sciencedirect.com/science/article/pii/S2590255523000124/pdfft?md5=408a3ec727d6e87f0099d4405273731a&pid=1-s2.0-S2590255523000124-main.pdf,2023
The insect microbiome is a vast source of bioactive small molecules,"Carlismari Oliveira Grundmann, Juan Guzman, Mônica Tallarico Pupo",No URL found,2024
"Synanthropictriatominesin Hidalgo state,Mexico: Spatial-temporal distribution, domestic transmission cycle, and natural infection withTrypanosoma cruzi","Mónica Chico-Avelino, Adriana López-Mejía, Rebeca G. Manning-Cela",https://www.sciencedirect.com/science/article/pii/S0001706X22003102/pdfft?md5=45f278c37d838a3d81e72143fee97766&pid=1-s2.0-S0001706X22003102-main.pdf,2022
